number
	0	1	2	3	4	5	6	7	8	9	E	e	.	+	-	
0	7	1	1	1	1	1	1	1	1	1	$	$	$	$	$	
1*	1	1	1	1	1	1	1	1	1	1	4	4	2	$	$	
2	3	3	3	3	3	3	3	3	3	3	$	$	$	$	$	
3*	3	3	3	3	3	3	3	3	3	3	4	4	$	$	$	
4	6	6	6	6	6	6	6	6	6	6	$	$	$	5	5	
5	6	6	6	6	6	6	6	6	6	6	$	$	$	$	$	
6*	6	6	6	6	6	6	6	6	6	6	$	$	$	$	$	
7*	$	$	$	$	$	$	$	$	$	$	$	$	2	$	$	
